RESPID,MODE,LANGUAGE,LANGUAGEINITIAL,STRATUM,INTERVIEW_START,INTERVIEW_END,ECON1MOD,ECON1BMOD,COMTYPE2,UNITY,CRIMESAFE,GOVPROTCT,MOREGUNIMPACT,FIN_SIT,VET1,VOL12_CPS,EMINUSE,INTMOB,INTFREQ,INTFREQ_COLLAPSED,HOME4NW2,BBHOME,SMUSE_FB,SMUSE_YT,SMUSE_X,SMUSE_IG,SMUSE_SC,SMUSE_WA,SMUSE_TT,SMUSE_RD,SMUSE_BSK,SMUSE_TH,SMUSE_TS,RADIO,DEVICE1A,SMART2,NHISLL,RELIG,RELIGCAT1,BORN,ATTENDPER,ATTENDONLINE2,RELIMP,PRAY,EDUCCAT,REGISTRATION,PARTY,PARTYLN,PARTYSUM,HISP,RACECMB,RACETHN,AGEGRP,AGECAT,BIRTHPLACE,GENDER,ADULTS,VOTED2024,VOTEGEN_POST,INC_SDT1,CREGION,METRO,BASEWT,WEIGHT
8314,3,1,9,9,3/31/2025,3/31/2025,2,3,1,2,2,1,3,3,4,2,2,2,6,4,,,,,,,,,,,,,,1,2,,2,1,1,1,2,5,2,1,3,1,99,99,9,2,2,2,12,4,1,1,2,1,1,1,3,2,0.901801192,1.015937005
16055,2,1,,10,6/16/2025,6/16/2025,2,1,3,2,2,2,3,2,4,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,3,2,1,2,1,1,3,1,1,2,1,1,4,2,1,2,2,1,1,8,2,1,1.604400946,1.406581511
17116,2,1,,10,5/1/2025,5/1/2025,3,2,2,2,3,2,1,3,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,99,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,99,9,1,1,3,8,3,1,2,2,1,2,8,3,1,1.604400946,0.901286855
12085,2,1,,10,5/5/2025,5/5/2025,2,2,2,2,2,2,2,1,4,2,1,1,2,2,1,2,1,1,2,2,2,1,2,2,1,2,2,1,1,1,2,12,3,2,5,6,4,6,2,1,2,,2,1,4,3,11,4,1,2,2,1,2,5,4,1,1.604400946,0.595672757
8592,2,1,,10,5/27/2025,5/27/2025,3,1,3,2,2,2,2,2,4,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,5,6,2,6,2,1,1,,1,2,1,1,5,2,1,1,2,1,1,8,1,1,1.604400946,1.703798107
16586,2,1,,8,5/21/2025,5/21/2025,2,1,1,1,2,2,2,1,4,2,2,2,6,4,,,,,,,,,,,,,,99,2,,2,2,2,2,4,6,1,2,3,1,1,,1,1,5,3,11,4,1,1,99,1,1,1,3,1,0.76992885,0.819302575
9743,2,1,,10,5/21/2025,5/21/2025,3,3,2,2,3,1,2,2,4,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,3,1,1,2,1,1,,1,1,1,3,7,3,1,2,2,1,3,7,4,1,1.604400946,0.272658375
15670,1,1,9,10,3/25/2025,3/25/2025,2,1,3,1,2,2,3,2,4,1,1,1,2,2,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,3,1,1,3,2,99,99,9,2,1,1,9,3,1,2,2,2,,2,2,1,0.802200473,0.959213908
18488,2,1,,10,5/27/2025,5/27/2025,3,3,2,2,2,2,3,2,2,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,12,3,2,6,6,2,6,2,1,3,1,1,2,1,1,7,3,1,2,5,1,1,4,1,1,2.406601419,1.448516226
3161,2,1,,9,5/6/2025,5/6/2025,2,1,3,1,2,2,1,1,4,1,1,1,2,2,1,4,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,4,6,1,2,1,1,1,,1,2,1,1,10,4,4,2,3,1,1,5,2,2,1.352701788,0.531339539
7269,2,2,,7,6/6/2025,6/6/2025,3,3,1,2,3,2,2,3,4,2,1,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,2,1,1,1,2,2,2,2,2,3,2,1,2,3,3,2,2,1,99,3,1,1,1,1,4,2,,2,4,1,0.53249448,1.988362723
5395,1,1,9,10,2/23/2025,2/23/2025,2,2,1,2,2,2,1,2,4,1,1,1,2,2,1,2,1,1,2,1,2,2,2,1,2,2,2,1,1,1,2,10,3,2,5,6,4,2,1,1,2,,2,2,1,1,5,2,1,1,2,1,2,7,1,1,0.802200473,0.618353876
12039,1,1,9,9,3/15/2025,3/15/2025,2,2,2,2,2,2,1,1,4,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,2,2,2,1,1,2,10,3,2,5,6,2,5,1,1,2,,2,2,1,1,8,3,1,2,2,1,2,7,3,1,0.450900596,0.265782018
14223,1,1,9,9,3/20/2025,3/20/2025,3,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,1,1,2,12,3,2,4,4,1,3,2,2,1,,1,2,1,1,1,1,1,2,2,2,,7,3,1,0.450900596,1.304147636
12086,2,1,,8,5/5/2025,5/5/2025,3,1,1,2,3,2,2,2,4,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,1,1,1,2,1,1,2,4,5,1,1,2,2,1,,1,2,1,1,8,3,1,2,3,1,1,3,4,1,1.154893275,0.719726101
198,2,1,,10,5/5/2025,5/5/2025,2,1,2,2,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,3,4,1,1,4,1,1,1,1,1,,1,2,1,1,10,4,1,1,2,1,1,8,4,1,1.604400946,0.546676862
16695,1,1,9,7,3/8/2025,3/8/2025,4,1,1,2,3,2,3,3,4,2,2,1,5,4,2,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,4,6,2,1,3,1,1,,1,1,1,3,12,4,3,2,1,1,99,1,4,1,0.08874908,0.137089144
11046,2,1,,10,5/27/2025,5/27/2025,2,1,2,1,2,2,3,2,4,2,1,1,1,1,1,2,1,1,1,1,99,1,2,2,2,2,2,2,1,1,2,8,4,99,3,3,2,5,1,2,3,2,2,2,3,5,3,2,4,2,99,2,,1,2,1,1.604400946,2.605798138
5382,1,1,9,8,2/28/2025,2/28/2025,3,2,1,2,3,2,3,3,4,2,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,12,3,2,6,6,3,6,2,2,4,2,2,1,1,3,11,4,2,1,2,2,,1,1,1,0.384964425,0.425275482
9613,2,2,,7,5/21/2025,5/21/2025,3,1,1,2,3,2,1,3,4,2,1,1,1,1,1,2,1,1,2,2,1,1,1,2,2,2,2,1,1,1,2,12,3,2,6,6,4,2,3,2,3,2,2,1,99,3,5,2,4,2,1,2,,1,3,1,0.17749816,0.544830907
15479,2,1,,10,5/19/2025,5/19/2025,3,2,2,2,2,2,1,1,4,1,1,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,2,2,1,1,2,5,4,2,5,6,3,3,1,1,2,,2,2,1,1,8,3,1,1,2,1,2,8,1,1,1.604400946,0.949920811
15808,2,1,,8,5/9/2025,5/9/2025,2,2,1,2,3,1,1,2,4,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,10,3,2,6,6,4,7,1,1,3,2,2,2,3,5,10,4,1,1,1,1,2,5,4,1,0.384964425,0.138983876
15621,1,1,9,10,2/28/2025,2/28/2025,2,1,2,1,1,1,2,1,4,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,4,3,1,3,2,1,1,,1,2,1,1,7,3,1,1,2,1,1,8,3,1,0.802200473,0.641908684
7401,2,1,,10,5/12/2025,5/12/2025,99,3,2,2,2,2,3,3,4,2,1,1,4,3,1,2,2,1,2,2,2,1,2,2,2,2,2,1,1,1,2,2,2,2,5,6,3,5,2,1,2,,2,2,1,1,10,4,1,1,99,1,2,1,2,1,0.802200473,0.271414846
10322,2,1,,10,5/12/2025,5/12/2025,2,1,2,1,2,1,3,1,4,2,1,1,2,2,1,2,1,1,99,99,99,99,99,99,99,99,99,1,1,1,2,2,2,1,2,4,1,2,2,1,1,,1,2,1,1,11,4,1,2,1,1,1,3,3,1,0.802200473,0.395187679
3899,1,1,9,10,3/4/2025,3/4/2025,2,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,99,4,6,2,3,1,2,3,1,1,2,1,1,12,4,1,1,1,1,1,6,4,1,0.401100237,0.23428707
6480,1,1,9,10,2/24/2025,2/24/2025,3,2,2,2,3,1,1,1,4,1,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,2,4,6,1,1,1,1,2,,2,2,1,1,12,4,1,2,2,1,2,7,3,1,0.802200473,0.34570728
6093,2,1,,10,5/28/2025,5/28/2025,2,1,2,1,2,1,2,2,4,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,10,3,2,6,6,4,7,3,1,1,,1,2,1,1,9,3,1,1,2,1,1,4,2,1,1.604400946,1.897301047
4261,1,1,9,10,3/30/2025,3/30/2025,2,2,2,2,2,2,1,1,4,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,9,3,2,6,5,3,6,1,2,3,1,1,2,3,5,8,3,4,1,2,2,,8,2,1,0.802200473,0.835668423
6791,2,1,,10,5/12/2025,5/12/2025,3,2,2,2,2,2,1,2,4,2,1,1,1,1,1,2,1,1,2,2,2,1,2,1,2,2,2,1,1,1,2,12,3,2,6,6,4,7,1,1,3,2,2,2,1,1,6,2,1,2,1,1,2,5,3,1,0.802200473,0.573507384
1010,2,1,,10,5/2/2025,5/2/2025,4,2,1,2,2,99,3,3,4,2,1,1,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,1,1,1,2,11,4,99,1,1,99,1,3,1,99,99,9,2,99,99,6,2,1,2,1,1,2,99,3,1,0.802200473,0.697456849
15580,1,1,9,8,3/12/2025,3/12/2025,3,1,2,2,3,2,3,1,4,2,1,1,3,3,2,,1,1,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,6,6,2,6,3,1,2,,2,1,99,3,8,3,1,1,1,1,2,1,4,2,0.192482213,0.289762002
1407,1,1,9,10,3/10/2025,3/10/2025,3,2,2,1,2,2,2,2,4,2,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,5,1,1,3,1,2,,2,2,1,1,8,3,1,2,1,1,2,3,3,1,0.401100237,0.287588241
10844,3,1,9,2,2/25/2025,2/25/2025,3,3,1,2,3,1,1,3,1,2,1,1,99,99,2,,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,6,1,3,2,1,2,,2,2,2,2,13,4,1,1,1,1,2,3,3,1,0.577363669,0.35078342
9760,1,1,9,10,2/24/2025,2/24/2025,3,3,1,2,3,2,2,2,2,1,1,1,2,2,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,3,1,1,,1,2,1,1,11,4,1,99,3,1,1,4,1,1,1.20330071,1.036579483
8933,1,1,9,7,2/27/2025,2/27/2025,3,1,1,1,3,2,3,2,4,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,2,1,1,9,3,1,2,2,1,1,1,3,1,0.17749816,0.181463517
15708,1,1,9,10,2/22/2025,2/22/2025,4,1,3,2,2,2,3,3,4,2,1,1,2,2,1,2,1,1,2,1,1,2,1,2,2,2,2,1,1,1,2,1,1,1,1,4,1,1,3,1,1,,1,2,1,1,5,2,1,2,2,1,1,1,3,1,0.802200473,0.799630444
3652,2,1,,10,5/5/2025,5/5/2025,3,3,3,2,2,2,2,2,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,12,3,2,6,6,3,6,2,1,1,,1,2,1,1,8,3,1,1,4,1,3,7,2,2,2.406601419,0.481061568
15461,1,1,9,9,2/25/2025,2/25/2025,2,2,1,2,2,1,2,1,4,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,1,2,1,1,1,2,1,1,2,4,6,3,6,1,1,1,,1,2,1,1,6,2,1,1,2,1,1,8,2,1,0.450900596,0.338191216
10557,2,1,,10,5/21/2025,5/21/2025,2,1,3,2,2,2,3,1,4,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,3,1,3,1,1,2,1,1,10,4,1,1,2,1,1,1,3,1,1.604400946,1.74898786
5442,2,1,,8,4/29/2025,4/29/2025,2,1,99,1,2,1,3,2,4,2,1,1,2,2,1,4,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,12,3,2,4,6,3,7,3,1,99,99,9,1,99,3,8,3,1,2,3,2,,1,4,1,1.154893275,1.774395279
17525,1,1,9,10,3/10/2025,3/10/2025,3,1,1,2,3,2,3,3,3,1,1,1,2,2,2,,1,1,2,1,2,2,1,2,2,1,2,1,1,1,2,2,2,2,1,6,1,1,2,1,1,,1,1,1,3,10,4,1,2,2,1,1,4,4,1,0.802200473,0.354028432
2092,1,1,9,10,3/27/2025,3/27/2025,3,2,2,2,4,2,3,2,4,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,5,4,2,3,1,1,99,2,2,2,1,1,9,3,1,2,1,1,2,3,3,1,0.401100237,0.239264887
15637,1,1,9,10,2/24/2025,2/24/2025,3,3,2,2,3,1,2,1,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,1,6,6,2,3,1,1,3,1,1,2,1,1,9,3,1,1,2,1,3,2,4,1,0.802200473,0.189588773
15985,1,1,9,10,3/26/2025,3/26/2025,4,1,1,2,3,1,2,1,4,2,1,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,1,1,1,5,5,1,1,3,1,3,1,1,1,99,3,8,3,1,2,2,1,1,6,4,1,0.802200473,0.704480964
1835,3,1,9,1,3/10/2025,3/10/2025,2,1,1,2,2,2,2,3,4,1,1,1,5,4,1,4,1,2,2,2,2,2,1,2,2,2,2,1,1,1,2,1,1,1,1,3,1,1,3,1,2,,2,2,2,2,10,4,1,2,1,1,2,1,3,1,0.160164299,0.141958694
15069,1,1,9,10,3/12/2025,3/12/2025,3,2,1,2,2,2,1,2,4,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,1,1,2,9,3,2,6,6,4,7,1,1,2,,2,2,1,1,4,2,1,2,2,1,2,7,4,1,0.802200473,0.773821043
6277,2,1,,10,5/21/2025,5/21/2025,3,2,3,2,2,1,2,99,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,11,4,2,3,5,4,1,2,1,1,,1,1,4,3,5,2,1,2,1,2,,1,4,1,0.802200473,0.961415483
5632,3,1,10,7,5/24/2025,5/24/2025,2,1,1,2,4,1,1,3,4,2,2,2,6,4,,,,,,,,,,,,,,1,1,1,2,2,2,1,3,1,1,2,3,3,2,,2,2,2,2,9,3,1,2,1,2,,1,1,1,0.17749816,0.334709153
14366,2,1,,10,5/12/2025,5/12/2025,1,3,2,2,2,2,2,1,4,2,1,1,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,6,6,1,2,1,1,1,,1,2,1,1,10,4,1,2,1,1,1,6,4,1,0.802200473,0.662912515
14149,1,1,9,10,2/22/2025,2/22/2025,3,2,2,2,3,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,2,2,1,1,1,2,1,1,1,3,2,1,1,1,1,2,,2,2,2,2,6,2,1,2,3,1,2,7,3,1,1.20330071,1.101017654
16705,1,1,9,6,2/22/2025,2/22/2025,2,1,1,2,3,2,1,1,4,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5,6,2,3,1,2,1,,1,2,1,1,3,2,4,1,1,2,,8,1,1,0.391565421,0.826093142
2280,3,1,9,1,4/30/2025,4/30/2025,4,2,3,2,2,2,3,3,3,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,2,2,2,2,1,1,1,12,3,2,4,6,2,3,2,1,2,,2,2,2,2,8,3,1,2,2,1,2,1,3,1,0.320328598,0.245464935
93,1,1,9,9,3/6/2025,3/6/2025,4,2,3,2,2,2,2,4,4,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,2,6,6,3,6,3,1,2,,2,2,4,4,8,3,1,1,2,1,2,1,1,2,0.450900596,0.941836765
10460,2,1,,9,5/9/2025,5/9/2025,3,2,3,2,4,2,3,3,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,5,2,1,2,3,1,1,,1,2,1,1,9,3,1,1,1,1,1,1,3,1,0.450900596,0.634148362
5214,2,1,,10,5/19/2025,5/19/2025,3,3,2,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,1,2,1,1,2,2,1,1,1,1,9,3,2,6,6,4,7,1,1,3,2,2,1,1,3,7,3,1,1,2,1,2,8,4,1,1.604400946,0.988562696
14526,3,1,10,6,3/23/2025,3/23/2025,4,1,3,2,4,2,2,2,4,1,1,1,2,2,2,,1,1,2,1,2,2,2,2,2,1,2,1,1,2,2,1,1,1,2,1,1,1,2,1,1,,1,2,1,1,9,3,1,2,1,1,1,1,4,1,0.783130842,0.496315015
10692,2,1,,10,5/12/2025,5/12/2025,2,1,1,2,2,1,2,2,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,5,4,2,6,5,3,5,1,1,1,,1,2,1,1,2,1,1,2,99,1,1,5,1,1,2.406601419,3.586472897
15094,2,1,,10,5/5/2025,5/5/2025,2,1,2,1,2,1,2,2,4,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,4,2,2,4,2,1,1,,1,2,1,1,10,4,1,1,2,1,1,3,2,1,1.604400946,0.78625332
15578,2,1,,7,5/27/2025,5/27/2025,2,3,1,1,2,2,2,1,2,2,1,1,3,3,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,3,6,4,2,1,1,99,99,9,1,1,3,8,3,4,1,99,1,99,1,3,1,0.17749816,0.176630001
18602,2,1,,10,5/5/2025,5/5/2025,2,1,3,2,3,1,2,2,2,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,3,1,1,1,1,1,,1,2,1,1,7,3,1,2,3,1,1,6,3,2,2.406601419,1.371413524
9329,1,1,9,10,2/24/2025,2/24/2025,2,2,1,2,2,2,1,1,4,2,1,1,2,2,2,,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,6,6,4,7,1,1,3,2,2,2,1,1,11,4,1,1,1,1,2,8,1,1,0.401100237,0.203816137
13214,2,1,,9,5/21/2025,5/21/2025,3,1,3,2,3,2,3,2,4,2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,3,1,1,3,1,1,,1,2,1,1,9,3,1,2,2,1,1,1,3,2,0.901801192,0.775472045
2562,1,1,9,10,4/3/2025,4/3/2025,3,1,2,2,2,1,3,2,4,1,1,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,1,1,1,2,1,1,1,2,5,1,1,1,1,3,1,1,2,1,1,7,3,1,2,2,1,1,7,1,1,0.802200473,0.548165074
3644,1,1,9,8,2/24/2025,2/24/2025,3,2,1,2,3,2,3,2,4,1,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2,1,2,1,1,1,2,2,2,1,2,2,1,1,1,1,2,,2,1,1,3,4,2,1,2,2,1,3,4,3,1,0.384964425,0.12284408
18463,2,1,,2,5/5/2025,5/5/2025,2,1,2,1,2,2,2,2,4,2,1,1,4,3,1,2,1,1,2,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,,2,2,2,2,13,4,4,1,3,1,2,7,1,1,1.732091006,1.061132944
7542,2,2,,7,5/9/2025,5/9/2025,3,3,3,2,3,1,1,2,4,2,2,1,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,6,1,2,2,1,2,,2,1,99,3,9,3,4,1,3,2,,4,3,1,0.53249448,1.031886778
8780,1,1,9,10,3/16/2025,3/16/2025,2,2,1,2,2,2,3,2,4,2,1,1,1,1,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,2,12,3,2,6,6,4,7,1,1,2,,2,2,1,1,5,2,1,2,3,1,2,8,4,1,1.20330071,0.912471833
12950,2,1,,10,5/27/2025,5/27/2025,3,2,1,1,2,2,1,2,4,2,1,1,3,3,2,,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,5,5,1,1,2,1,3,1,1,2,1,1,13,4,1,2,1,1,3,1,2,1,0.802200473,0.122431106
11224,1,1,9,2,4/2/2025,4/2/2025,3,3,2,2,4,2,1,3,2,1,1,1,2,2,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,5,4,2,6,6,3,7,1,3,4,1,1,2,1,1,4,2,1,1,2,1,1,2,1,1,0.577363669,0.685215874
7036,2,1,,2,5/12/2025,5/12/2025,4,2,1,2,3,2,1,3,4,2,1,1,99,99,1,2,2,2,2,2,2,2,1,2,2,2,2,1,99,,1,1,1,1,3,6,1,1,1,3,99,99,9,2,2,2,10,4,1,1,2,99,,1,1,1,1.154727337,1.209987857
6022,2,1,,10,5/5/2025,5/5/2025,2,3,2,2,1,2,1,1,4,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,4,6,3,6,1,1,2,,2,2,2,2,11,4,1,1,2,1,2,8,1,1,1.604400946,0.823837811
12668,2,1,,7,5/2/2025,5/2/2025,2,2,1,1,3,1,1,2,4,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,2,1,1,1,6,6,1,1,2,1,3,2,2,2,1,1,10,4,1,2,2,1,2,4,3,1,0.35499632,0.167617492
5397,2,1,,4,6/6/2025,6/6/2025,3,3,1,1,2,1,1,2,4,99,2,2,6,4,,,,,,,,,,,,,,1,1,2,1,1,1,1,3,2,1,2,3,99,2,,2,2,2,2,8,3,1,1,2,99,,2,3,1,1.681551118,5.159710464
17001,2,1,,10,5/5/2025,5/5/2025,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,3,1,1,2,1,1,,1,2,1,1,10,4,1,1,2,1,1,8,3,1,1.604400946,0.680647362
4882,2,1,,10,5/6/2025,5/6/2025,3,2,2,2,3,2,2,1,4,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,6,6,2,6,1,1,1,,1,2,1,1,12,4,1,2,2,1,2,5,4,1,1.604400946,0.716394794
2905,1,1,9,6,2/11/2025,2/11/2025,3,1,2,1,2,2,2,2,4,2,1,1,1,1,2,,1,1,2,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,3,2,2,3,2,1,1,,1,1,99,3,6,2,1,2,2,1,1,4,4,1,0.783130842,0.522685088
1109,2,1,,9,5/19/2025,5/19/2025,4,3,1,1,3,2,1,2,2,2,1,1,1,1,1,2,1,1,2,2,2,2,1,2,2,1,2,1,1,1,2,1,1,1,6,4,1,1,2,1,3,1,1,2,2,2,8,3,1,2,3,2,,2,3,1,1.352701788,1.88849303
2282,2,1,,10,5/5/2025,5/5/2025,2,1,3,2,3,2,2,2,4,1,1,1,2,2,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,1,1,2,3,1,1,2,1,1,,1,2,1,1,11,4,1,2,3,1,1,3,3,1,2.406601419,1.134179869
17722,2,1,,10,5/6/2025,5/6/2025,2,1,3,2,1,1,2,1,4,2,1,1,2,2,1,2,1,2,2,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,3,2,2,3,1,1,1,,1,2,1,1,3,2,1,1,2,1,1,8,3,1,1.604400946,1.75191126
3189,1,1,9,9,3/9/2025,3/9/2025,2,3,2,2,2,2,3,2,4,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,12,3,2,5,6,3,2,2,1,4,2,2,1,1,3,2,1,1,1,2,1,2,5,3,1,0.450900596,0.772676234
16044,2,1,,5,5/5/2025,5/5/2025,3,2,1,1,3,2,1,2,4,2,1,1,2,2,1,2,1,1,99,99,99,99,99,99,99,99,99,1,1,1,2,2,2,2,3,4,1,2,2,1,3,2,2,2,1,1,12,4,1,2,1,1,2,3,1,1,0.624820777,0.290902553
8984,2,1,,10,5/9/2025,5/9/2025,3,1,2,1,3,2,3,2,2,1,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,4,5,2,3,1,1,1,,1,2,1,1,9,3,1,1,1,1,1,8,3,1,0.802200473,0.743077457
7219,2,1,,6,5/16/2025,5/16/2025,4,3,2,2,3,2,3,3,2,1,2,1,99,99,99,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,99,2,6,1,2,3,1,1,,1,1,1,3,13,4,1,2,2,1,1,1,4,1,1.566261683,1.235252773
17457,1,1,9,10,3/4/2025,3/4/2025,2,3,2,2,1,2,3,3,4,2,1,1,2,2,1,2,1,1,2,2,2,1,2,1,2,2,2,1,1,1,2,11,4,2,4,6,3,1,2,1,4,2,2,2,99,99,8,3,1,1,2,1,3,1,1,1,0.802200473,0.223831795
3852,2,1,,10,5/5/2025,5/5/2025,2,2,2,2,2,2,3,2,4,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,1,2,9,3,2,6,6,4,7,1,1,2,,2,2,1,1,5,2,1,1,2,1,2,4,2,1,1.604400946,0.99083644
5972,2,1,,10,5/5/2025,5/5/2025,3,3,2,2,2,2,3,2,2,1,1,1,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,1,3,1,1,2,1,1,3,2,1,2,2,2,,5,3,1,1.604400946,2.884123896
17221,2,1,,10,5/6/2025,5/6/2025,4,3,3,1,1,2,3,2,4,2,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,5,5,3,2,99,1,2,,2,2,1,1,12,4,1,2,1,1,2,1,3,1,0.802200473,0.503739406
4355,1,1,9,10,2/13/2025,2/13/2025,3,2,2,2,2,2,3,1,4,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,1,2,10,3,2,6,6,4,7,2,1,3,2,2,2,1,1,2,1,1,3,1,1,2,3,1,1,0.401100237,0.882457939
6475,3,1,10,7,4/3/2025,4/3/2025,4,1,1,2,3,2,1,3,4,1,1,1,3,3,1,2,1,1,2,1,2,1,2,2,2,2,2,1,1,1,2,2,2,1,2,6,1,2,2,1,2,,2,1,1,3,9,3,4,2,3,2,,5,3,1,0.53249448,0.735848388
11484,2,1,,10,5/12/2025,5/12/2025,4,3,1,2,4,2,3,3,4,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2,2,5,6,2,2,2,1,2,,2,1,99,3,4,2,1,1,4,2,,5,4,1,2.406601419,5.454124254
